,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
75,NCAP,378.0,i,,10.4,0.97,4899600.0,51051.0,9360.0,39.06,5.33,1.78,,0.27,9.04,12.89,24.01,,34.35,,594.0,594.0,,,,,,
76,NDR,381.0,i | 1 | 2 | 3,,3.38,-3.98,12458000.0,42588.0,1141.0,19.53,1.40,0.44,0.05,0.17,7.33,7.87,5.43,1.33,23.09,,572.0,506.0,-0.22,,,,,
78,NRF,397.0,i,,9.35,-6.5,40308100.0,385666.0,13184.0,110.47,5.05,0.3,,0.08,4.96,4.17,4.33,0.04,27.82,,951.0,881.0,,,,,,
79,NSL,399.0,i,,15.3,-1.29,3545300.0,54049.0,0.0,,-,,-,0.0,15.51,33.25,7.35,-,25.0,,,,,,,,,
80,OR,410.0,i,,28.5,-0.87,24421800.0,695939.0,342000.0,31.38,3.58,2.83,0.10,0.91,7.0,11.09,3.35,0.34,23.72,,596.0,621.0,,,,,,
81,ORI,411.0,i | 1 | 2 | 3,,8.65,-1.7,7176900.0,62396.0,21217.0,7.33,1.74,1.91,0.39,1.18,11.33,25.76,23.19,5.57,32.28,,88.0,173.0,0.11,,,,,
82,PACO,415.0,i,,2.84,-1.39,2794500.0,7929.0,2840.0,36.91,3.34,1.19,,0.08,9.68,10.14,15.49,,25.92,,658.0,575.0,,,,,,
83,PRIME,454.0,i | 1 | 2 | 3,,1.91,-2.05,6725700.0,12897.0,8126.0,27.54,2.85,1.12,,0.07,6.61,11.07,82.35,,16.14,,569.0,607.0,-8.56,,,,,
85,PROEN,459.0,i,,6.5,-1.52,1118000.0,7305.0,0.0,,-,,-,0.0,8.24,17.57,4.45,-,25.52,,,,,,,,,
86,PROS,460.0,i,,2.92,-2.67,2574000.0,7575.0,0.0,,-,,-,0.0,14.05,23.26,9.66,-,25.0,,,,,,,,,
87,PSH,462.0,i | 1 | 2 | 3,,12.8,-1.54,1146900.0,14685.0,28013.0,11.41,0.64,0.8,0.65,1.12,4.47,5.6,8.94,7.38,28.16,,506.0,505.0,-0.8,,,,,
