,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
207,FORTH,207.0,i | 1 | 3,,12.0,-6.25,4545400.0,55474.0,11520.0,20.39,7.59,4.33,0.20,0.59,12.04,42.81,11.71,2.50,33.35,,276.0,385.0,2.37,,,,,
208,FPI,208.0,i | 1 | 2 | 3,,2.38,-2.46,450000.0,1071.0,3601.0,29.87,2.13,0.8,0.04,0.08,4.98,7.21,13.32,1.64,20.3,,694.0,719.0,-2.5,,,,,
209,FPT,209.0,i | 1 | 2 | 3,,11.7,0.0,83200.0,969.0,27136.0,10.3,0.80,1.66,0.60,1.14,4.48,8.62,12.08,5.13,16.7,,384.0,480.0,0.99,,,,,
210,FSMART,210.0,i | 1 | 2 | 3,,10.8,-2.7,3523600.0,37763.0,8640.0,18.12,6.47,2.01,0.30,0.6,16.59,38.17,14.47,5.41,34.77,,251.0,287.0,1.28,,,,,
215,GC,215.0,i | 1 | 2 | 3,,9.85,-0.51,99800.0,981.0,1970.0,11.65,3.34,1.79,0.40,0.85,13.81,30.67,5.32,5.86,33.21,,147.0,198.0,0.95,,,,,
220,GGC,220.0,i | 1 | 2 | 3,,10.3,-2.83,125000.0,1301.0,10544.0,25.36,1.05,0.32,0.35,0.41,3.53,4.21,1.89,3.30,27.7,,757.0,754.0,4.96,,,,,
221,GIFT,221.0,i | 1 | 2 | 3,,2.5,-3.85,1215100.0,3096.0,827.0,,1.36,0.07,0.05,0.0,-1.81,-2.28,-27.02,1.92,25.15,,,,,,,,,
222,GJS,222.0,i | 1 | 2 | 3,,0.32,0.0,29665100.0,9507.0,8156.0,57.83,0.63,0.17,,0.01,2.52,1.1,7.7,,30.71,,1000.0,962.0,-0.02,,,,,
224,GLAND,224.0,i | 1 | 2 | 3,,2.12,-2.75,240800.0,504.0,13780.0,22.83,0.98,1.04,,0.09,3.43,4.44,50.26,,5.09,,728.0,736.0,2.39,,,,,
225,GLOBAL,225.0,i | 1 | 2 | 3,,23.8,-1.24,9738600.0,231378.0,109520.0,47.5,5.83,1.11,0.19,0.5,8.44,13.37,11.01,0.73,32.11,,623.0,653.0,2.38,,,,,
228,GPSC,228.0,i | 1 | 2 | 3,,79.75,-0.62,21824900.0,1737063.0,224873.0,28.46,2.14,1.41,1.00,2.8,5.51,7.79,11.73,1.87,24.75,,663.0,680.0,0.83,,,,,
229,GRAMMY,229.0,i | 1 | 2 | 3,,13.9,-2.8,13400.0,188.0,11397.0,62.69,9.33,3.97,,0.22,7.69,14.95,39.16,,20.23,,638.0,719.0,0.18,,,,,
233,GSTEEL,233.0,i | 1 | 2 | 3,SPNC,0.09,0.0,0.0,0.0,617.0,,,1.5,,0.0,5.29,6.28,6.04,,30.6,,,,,,,,,
234,GTB,234.0,i | 1 | 2 | 3,,1.13,5.61,48662100.0,54083.0,1085.0,65.89,1.51,0.45,0.02,0.02,2.1,2.29,-1.57,1.87,24.75,,987.0,998.0,0.03,,,,,
235,GULF,235.0,i | 1 | 2 | 3,,33.5,1.52,8514400.0,283547.0,393061.0,62.12,5.59,2.71,0.38,0.54,6.26,13.26,18.4,1.15,26.23,,661.0,770.0,5.07,,,,,
237,GYT,237.0,i | 1 | 3,,229.0,3.15,200.0,45.0,1695.0,,0.47,0.87,,0.0,-2.05,-5.1,2.21,,25.36,,,,,,,,,
239,HARN,239.0,i | 1 | 2 | 3,,2.52,-0.79,1458600.0,3664.0,1473.0,16.5,1.10,0.26,0.13,0.15,6.62,6.62,8.54,5.12,34.05,,578.0,482.0,0.43,,,,,
243,HPT,243.0,i | 1 | 2 | 3,,0.76,-3.8,1808700.0,1392.0,503.0,,1.77,0.11,,0.0,-5.71,-6.56,-15.64,,23.02,,,,,,,,,
248,ICC,248.0,i | 1 | 2 | 3,,31.75,0.0,0.0,0.0,9228.0,125.9,0.34,0.19,0.25,0.25,0.63,0.27,0.27,0.81,27.98,,1059.0,1084.0,-6.57,,,,,
252,IFS,252.0,i | 1 | 3,,2.64,-0.75,426400.0,1128.0,1303.0,10.82,0.83,1.26,0.14,0.24,5.01,7.71,38.5,5.26,26.81,,420.0,461.0,1.62,,,,,
253,IHL,253.0,i | 1 | 2 | 3,,4.24,-1.85,1544600.0,6550.0,2513.0,,1.59,1.37,,0.0,1.05,-0.19,10.22,,34.89,,,,,,,,,
255,III,255.0,i | 1 | 2 | 3,,11.9,-2.46,9484300.0,113355.0,7252.0,33.36,5.20,0.86,0.10,0.36,9.86,16.2,12.16,0.81,34.88,,521.0,553.0,4.14,,,,,
257,ILM,257.0,i | 1 | 3,,13.7,-3.52,1870800.0,25869.0,6919.0,15.43,1.32,1.55,0.27,0.89,5.87,8.7,6.77,2.96,24.87,,492.0,506.0,-0.53,,,,,
258,IMH,258.0,i | 1 | 3,,8.3,3.11,8764300.0,70338.0,1785.0,,4.26,0.13,,0.0,-4.56,-5.45,-34.68,,25.99,,,,,,,,,
262,INOX,262.0,i | 1 | 3,,1.18,-3.28,33976200.0,39467.0,9199.0,46.17,1.01,0.22,,0.03,2.11,2.22,4.16,,15.31,,943.0,950.0,0.87,,,,,
264,INSURE,264.0,i | 1 | 3,,30.0,-6.25,200.0,6.0,300.0,,2.03,3.87,,0.0,-0.52,-1.8,-7.58,,24.92,,,,,,,,,
267,IRC,267.0,i | 1 | 2 | 3,,18.0,-2.17,42300.0,762.0,3600.0,11.05,0.91,0.31,0.57,1.63,7.77,8.57,9.07,3.10,23.63,,400.0,330.0,0.79,,,,,
274,J,274.0,i | 1 | 3,,2.8,-4.76,6257700.0,17857.0,2601.0,42.78,1.37,1.42,0.03,0.07,3.89,4.15,16.05,1.02,22.98,,867.0,845.0,-0.51,,,,,
275,JAK,275.0,i,,1.64,-2.96,441000.0,729.0,525.0,45.23,1.23,0.93,0.04,0.04,2.82,2.54,0.93,2.37,27.24,,928.0,906.0,,,,,,
279,JCT,279.0,i | 1 | 2 | 3,,77.5,-2.82,1200.0,93.0,1046.0,20.47,0.86,0.15,3.50,3.79,4.59,4.22,7.14,4.39,25.46,,706.0,656.0,-3.62,,,,,
287,JUTHA,287.0,i | 1 | 2 | 3,C,0.92,-2.13,395700.0,363.0,388.0,,3.83,17.01,,0.0,-7.59,-119.35,-29.79,,27.68,,,,,,,,,
291,KASET,291.0,i | 1 | 2 | 3,,1.75,-0.57,1528600.0,2700.0,487.0,,1.75,1.09,,0.0,-6.58,-15.29,-18.66,,31.62,,,,,,,,,
295,KCAR,295.0,i | 1 | 2 | 3,,8.35,-1.18,38500.0,323.0,2088.0,10.04,0.96,1.55,0.22,0.83,4.91,9.71,8.77,5.21,26.5,,345.0,453.0,1.84,,,,,
297,KCM,297.0,i | 1 | 3,,1.01,-1.94,1617900.0,1652.0,687.0,,1.51,0.36,,0.0,-0.68,-1.61,0.47,0.44,29.23,,,,,,,,,
299,KEX,299.0,i,,38.75,-1.27,2971900.0,115182.0,67425.0,50.5,6.06,0.78,0.22,0.77,9.96,12.22,7.18,0.56,26.82,,658.0,624.0,,,,,,
302,KISS,302.0,i,,11.1,-3.48,3474600.0,38486.0,6660.0,45.59,7.35,0.95,0.04,0.24,18.18,18.72,18.39,0.35,34.2,,545.0,477.0,,,,,,
303,KK,303.0,i,,3.18,-4.22,753500.0,2419.0,731.0,35.8,4.48,1.37,0.03,0.09,7.81,11.45,2.71,0.90,26.22,,623.0,625.0,,,,,,
307,KSL,307.0,i | 1 | 2 | 3,,3.2,-5.88,15775300.0,51136.0,14113.0,20.08,0.73,1.27,,0.16,2.96,3.76,10.03,,27.81,,716.0,725.0,-1.76,,,,,
310,KTIS,310.0,i | 1 | 2 | 3,,6.3,-3.08,1091200.0,6919.0,24318.0,60.29,3.25,0.9,,0.1,3.48,5.52,-17.45,,20.73,,875.0,913.0,-0.9,,,,,
311,KUMWEL,311.0,i | 1 | 3,,3.94,-1.5,3385500.0,13249.0,1694.0,34.35,3.28,0.23,0.09,0.11,10.42,9.75,13.67,2.25,33.09,,653.0,545.0,0.35,,,,,
